Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.3	 Generacja: 	234401	 Najlepszy wynik: 	156415
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	778655	 Najlepszy wynik: 	153318
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	1556911	 Najlepszy wynik: 	152595
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.21	 Generacja: 	3601	 Najlepszy wynik: 	168877
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.08	 Generacja: 	17881	 Najlepszy wynik: 	154228
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.2	 Generacja: 	35630	 Najlepszy wynik: 	154228
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	30000.1	 Generacja: 	105731	 Najlepszy wynik: 	152141
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	357214	 Najlepszy wynik: 	137540
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	718194	 Najlepszy wynik: 	137540
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.14	 Generacja: 	3634	 Najlepszy wynik: 	164383
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.06	 Generacja: 	18192	 Najlepszy wynik: 	151155
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	10000.1	 Generacja: 	36276	 Najlepszy wynik: 	151155
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.1	 Generacja: 	108950	 Najlepszy wynik: 	151155
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	361096	 Najlepszy wynik: 	140606
Liczba miast: 	76	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	721925	 Najlepszy wynik: 	140606
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.5	 Generacja: 	958	 Najlepszy wynik: 	141640
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.43	 Generacja: 	4794	 Najlepszy wynik: 	134979
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	10001.1	 Generacja: 	9510	 Najlepszy wynik: 	134979
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	30000.1	 Generacja: 	28321	 Najlepszy wynik: 	131144
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	93590	 Najlepszy wynik: 	124568
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	186980	 Najlepszy wynik: 	124119
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.56	 Generacja: 	960	 Najlepszy wynik: 	149202
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.41	 Generacja: 	4642	 Najlepszy wynik: 	135081
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	10000.9	 Generacja: 	9374	 Najlepszy wynik: 	135081
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.4	 Generacja: 	28067	 Najlepszy wynik: 	122699
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	100001	 Generacja: 	93955	 Najlepszy wynik: 	122699
Liczba miast: 	76	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	200001	 Generacja: 	192855	 Najlepszy wynik: 	122699
